Date,Price,Open,High,Low,Vol.,Change %
9/1/2014,"1,211.60","1,288.50","1,290.90","1,204.30",2.97M,-5.89%
8/1/2014,"1,287.40","1,284.20","1,324.30","1,273.40",2.19M,0.36%
7/1/2014,"1,282.80","1,327.50","1,346.80","1,281.30",3.07M,-2.97%
6/1/2014,"1,322.00","1,250.50","1,330.40","1,240.20",2.38M,6.10%
5/1/2014,"1,246.00","1,291.90","1,315.80","1,242.20",2.88M,-3.85%
4/1/2014,"1,295.90","1,284.60","1,331.40","1,268.40",2.49M,0.94%
3/1/2014,"1,283.80","1,332.40","1,392.60","1,282.70",3.37M,-2.86%
2/1/2014,"1,321.60","1,242.00","1,345.60","1,240.40",2.40M,6.60%
1/1/2014,"1,239.80","1,204.50","1,279.80","1,202.50",2.93M,3.12%
12/1/2013,"1,202.30","1,250.60","1,267.50","1,181.40",2.62M,-3.85%
11/1/2013,"1,250.40","1,323.10","1,327.30","1,225.70",2.76M,-5.54%
10/1/2013,"1,323.70","1,328.20","1,361.80","1,251.00",3.28M,-0.25%
9/1/2013,"1,327.00","1,394.00","1,416.40","1,291.50",3.11M,-4.95%
8/1/2013,"1,396.10","1,323.40","1,434.00","1,271.80",3.22M,6.33%
7/1/2013,"1,313.00","1,232.90","1,348.70","1,206.90",3.68M,7.30%
6/1/2013,"1,223.70","1,388.80","1,423.30","1,179.40",3.49M,-12.15%
5/1/2013,"1,393.00","1,475.60","1,487.20","1,336.30",4.33M,-5.37%
4/1/2013,"1,472.10","1,598.10","1,604.30","1,321.50",4.83M,-7.75%
3/1/2013,"1,595.70","1,578.50","1,616.50","1,560.40",2.94M,1.12%
2/1/2013,"1,578.10","1,665.20","1,687.00","1,554.30",3.31M,-5.05%
1/1/2013,"1,662.00","1,676.40","1,697.80","1,626.00",3.34M,-0.82%
12/1/2012,"1,675.80","1,715.50","1,725.00","1,636.00",2.45M,-2.15%
11/1/2012,"1,712.70","1,720.40","1,755.00","1,672.50",3.45M,-0.37%
10/1/2012,"1,719.10","1,773.70","1,798.10","1,698.70",2.93M,-3.09%
9/1/2012,"1,773.90","1,693.40","1,790.00","1,687.60",3.16M,5.11%
8/1/2012,"1,687.60","1,617.50","1,695.50","1,586.30",2.56M,4.52%
7/1/2012,"1,614.60","1,599.60","1,633.30","1,554.40",2.93M,0.65%
6/1/2012,"1,604.20","1,561.80","1,642.40","1,545.50",3.27M,2.56%
5/1/2012,"1,564.20","1,666.10","1,672.30","1,526.70",3.94M,-6.01%
4/1/2012,"1,664.20","1,671.50","1,685.40","1,613.00",2.58M,-0.46%
3/1/2012,"1,671.90","1,695.60","1,727.30","1,627.50",3.87M,-2.30%
2/1/2012,"1,711.30","1,739.80","1,792.70","1,688.40",3.23M,-1.67%
1/1/2012,"1,740.40","1,571.00","1,750.60","1,566.80",3.16M,11.08%
12/1/2011,"1,566.80","1,752.50","1,767.10","1,523.90",2.69M,-10.48%
11/1/2011,"1,750.30","1,715.70","1,804.40","1,667.10",3.30M,1.45%
10/1/2011,"1,725.20","1,625.10","1,754.00","1,596.60",2.86M,6.34%
9/1/2011,"1,622.30","1,826.20","1,923.70","1,535.00",4.91M,-11.43%
8/1/2011,"1,831.70","1,622.20","1,917.90","1,608.20",5.78M,12.29%
7/1/2011,"1,631.20","1,501.50","1,637.50","1,478.30",3.35M,8.54%
6/1/2011,"1,502.80","1,536.60","1,559.30","1,490.80",2.86M,-2.21%
5/1/2011,"1,536.80","1,566.80","1,577.40","1,462.50",4.03M,-1.26%
4/1/2011,"1,556.40","1,433.80","1,569.80","1,413.50",2.91M,8.09%
3/1/2011,"1,439.90","1,411.60","1,448.60","1,380.70",3.60M,2.13%
2/1/2011,"1,409.90","1,334.00","1,418.80","1,325.40",2.52M,5.65%
1/1/2011,"1,334.50","1,420.40","1,424.40","1,309.10",3.65M,-6.11%
12/1/2010,"1,421.40","1,387.70","1,432.50","1,361.60",2.63M,2.55%
11/1/2010,"1,386.10","1,359.70","1,424.30","1,325.50",4.35M,2.10%
10/1/2010,"1,357.60","1,309.60","1,388.10","1,307.30",3.43M,3.67%
9/1/2010,"1,309.60","1,250.30","1,317.50","1,237.90",2.42M,4.74%
8/1/2010,"1,250.30","1,183.80","1,251.80","1,176.70",1.96M,5.61%
7/1/2010,"1,183.90","1,243.00","1,244.80","1,155.60",3.00M,-4.98%
6/1/2010,"1,245.90","1,216.70","1,266.50","1,198.10",2.66M,2.54%
5/1/2010,"1,215.00","1,181.00","1,249.70","1,156.20",3.78M,2.91%
4/1/2010,"1,180.70","1,114.60","1,182.50","1,112.30",2.73M,5.94%
3/1/2010,"1,114.50","1,119.00","1,145.80","1,084.80",3.47M,-0.39%
2/1/2010,"1,118.90","1,081.90","1,131.50","1,044.50",3.36M,3.24%
1/1/2010,"1,083.80","1,099.00","1,163.00","1,074.40",3.65M,-1.13%
12/1/2009,"1,096.20","1,181.40","1,227.50","1,075.20",3.77M,-7.28%
11/1/2009,"1,182.30","1,043.40","1,196.80","1,042.20",3.58M,13.64%
10/1/2009,"1,040.40","1,008.30","1,072.00",987,3.02M,3.08%
9/1/2009,"1,009.30",952,"1,025.80",947.5,2.60M,5.85%
8/1/2009,953.5,954.5,974.3,931.3,1.62M,-0.24%
7/1/2009,955.8,926.1,960,904.8,2.11M,3.06%
6/1/2009,927.4,981,992.1,913.2,2.09M,-5.40%
5/1/2009,980.3,888.9,982,880.5,2.05M,10.00%
4/1/2009,891.2,920,935.8,865,1.65M,-3.65%
3/1/2009,925,940.3,967.8,882.7,2.64M,-1.86%
2/1/2009,942.5,924.6,"1,007.70",890.3,2.25M,1.52%
1/1/2009,928.4,883,931.3,801.5,2.42M,4.99%
12/1/2008,884.3,819,892,741.2,1.77M,7.97%
11/1/2008,819,727,833.5,698.2,2.25M,14.04%
10/1/2008,718.2,876.9,936.3,681,2.85M,-18.46%
9/1/2008,880.8,842.2,932,739.8,3.80M,5.46%
8/1/2008,835.2,922.9,926,777.7,2.77M,-9.48%
7/1/2008,922.7,928,989.6,902.7,3.53M,-0.60%
6/1/2008,928.3,891.3,937.7,859.6,2.47M,4.13%
5/1/2008,891.5,879,935.4,846.4,2.77M,3.05%
4/1/2008,865.1,920.5,956.2,864.1,2.56M,-6.12%
3/1/2008,921.5,975.6,"1,033.90",904.7,3.19M,-5.49%
2/1/2008,975,929.8,978.5,888.4,2.41M,5.06%
1/1/2008,928,837.5,942.2,837.5,3.12M,10.74%
12/1/2007,838,789.4,847.4,783,1.53M,6.20%
11/1/2007,789.1,799.4,848,773.4,3.11M,-0.78%
10/1/2007,795.3,750.6,800.8,726.3,2.34M,6.04%
9/1/2007,750,681.9,752.8,680.1,1.88M,9.99%
8/1/2007,681.9,675.3,688.1,651.6,1.52M,0.38%
7/1/2007,679.3,651.6,688.4,646.7,1.74M,4.36%
6/1/2007,650.9,666.5,679.5,641.1,1.40M,-2.37%
5/1/2007,666.7,681.2,693.3,651.5,1.75M,-2.46%
4/1/2007,683.5,671.1,698,661.7,1.30M,2.17%
3/1/2007,669,672.8,680.2,634.5,1.62M,-0.52%
2/1/2007,672.5,658.5,692.5,648,1.41M,2.22%
1/1/2007,657.9,639.2,660.7,603,1.48M,3.12%
12/1/2006,638,655,655.8,615,758.89K,-2.28%
11/1/2006,652.9,607.5,654.5,607.5,921.26K,7.60%
10/1/2006,606.8,606.2,613.2,563,739.09K,0.43%
9/1/2006,604.2,633.6,648.7,576.5,791.58K,-4.73%
8/1/2006,634.2,646.5,668.2,615.5,740.73K,-1.95%
7/1/2006,646.8,627,677.5,602.5,998.44K,5.00%
6/1/2006,616,649.8,651.3,546.4,1.05M,-5.08%
5/1/2006,649,656.8,732,636.5,1.65M,-0.84%
4/1/2006,654.5,587.8,658.2,586.3,1.16M,11.56%
3/1/2006,586.7,563.1,594.6,534.5,1.56M,4.04%
2/1/2006,563.9,575.1,579.5,537.8,1.08M,-2.02%
1/1/2006,575.5,519.9,577.3,517.6,1.51M,10.74%
12/1/2005,519.7,498,544.5,492.2,1.06M,4.21%
11/1/2005,498.7,466.5,506.7,456.1,1.36M,6.81%
10/1/2005,466.9,471.5,483.1,462,1.10M,-1.14%
9/1/2005,472.3,438.4,479,438.3,1.29M,7.81%
8/1/2005,438.1,435.4,455.3,433.5,1.16M,0.53%
7/1/2005,435.8,436.5,438.2,418.2,1.08M,-0.30%
6/1/2005,437.1,418.7,445.4,416.7,1.17M,4.34%
5/1/2005,418.9,435.7,436,415.8,1.09M,-3.94%
4/1/2005,436.1,431.1,439.1,423.5,818.81K,1.16%
3/1/2005,431.1,437.5,448,423.4,1.18M,-1.49%
2/1/2005,437.6,424.3,439.3,411.5,825.16K,3.18%
1/1/2005,424.1,438.9,438.9,417.2,1.15M,-3.26%
12/1/2004,438.4,453.4,458.7,432.9,981.97K,-3.27%
11/1/2004,453.2,430.5,457,418,1.37M,5.54%
10/1/2004,429.4,420.4,432,410.5,1.01M,2.14%
9/1/2004,420.4,412.1,420.8,396.9,881.01K,1.94%
8/1/2004,412.4,395,416.8,391.2,878.66K,4.75%
7/1/2004,393.7,393.3,409.6,385.5,1.09M,0.18%
6/1/2004,393,396,405.6,382.5,865.19K,-0.48%
5/1/2004,394.9,388.9,398,371.3,986.07K,1.91%
4/1/2004,387.5,427.5,433,377,1.12M,-9.53%
3/1/2004,428.3,397.5,428.5,388.2,1.22M,7.94%
2/1/2004,396.8,403.1,418,391,857.40K,-1.51%
1/1/2004,402.9,416.8,431.5,397.5,1.20M,-3.17%
12/1/2003,416.1,398.9,418.4,397.8,710.09K,4.86%
11/1/2003,396.8,384.7,402,376.5,996.72K,3.17%
10/1/2003,384.6,385.9,393,366.5,1.01M,-0.39%
9/1/2003,386.1,376.8,394.8,370.7,911.76K,2.47%
8/1/2003,376.8,356,379,346,741.88K,5.90%
7/1/2003,355.8,346.4,367.7,340.6,832.40K,2.74%
6/1/2003,346.3,364,370.5,343.3,758.31K,-5.28%
5/1/2003,365.6,339.2,374.9,338.5,849.28K,7.72%
4/1/2003,339.4,335.7,340.4,319.8,615.89K,0.74%
3/1/2003,336.9,349.8,358.8,325.8,757.50K,-3.83%
2/1/2003,350.3,368.9,390.8,342.4,844.34K,-5.09%
1/1/2003,369.1,347.6,373.7,342.8,845.17K,6.00%
12/1/2002,348.2,319.1,355.7,316.6,704.46K,9.91%
11/1/2002,316.8,318.3,325.4,316.5,558.88K,-0.50%
10/1/2002,318.4,324.3,325.5,309.1,645.19K,-2.09%
9/1/2002,325.2,313.8,329.3,312.6,585.81K,3.60%
8/1/2002,313.9,305.2,319.7,300.3,528.50K,2.85%
7/1/2002,305.2,314.5,326.1,300.5,707.86K,-2.77%
6/1/2002,313.9,327.5,331.5,310.5,637.19K,-4.15%
5/1/2002,327.5,309.1,330.2,306.5,777.47K,5.92%
4/1/2002,309.2,304,312.9,298,534.75K,1.81%
3/1/2002,303.7,297.4,305.8,288.3,459.26K,2.22%
2/1/2002,297.1,283,309.4,282.4,562.30K,5.02%
1/1/2002,282.9,279.5,289.9,277.2,537.17K,1.40%
12/1/2001,279,275.2,281.4,271.7,321.84K,1.49%
11/1/2001,274.9,280.5,282.5,271.9,396.69K,-2.00%
10/1/2001,280.5,293.7,295.9,275.5,447.68K,-4.59%
9/1/2001,294,276.1,300,272.7,289.49K,6.33%
8/1/2001,276.5,269.2,283.8,268.4,509.51K,2.71%
7/1/2001,269.2,271.5,272.1,264.8,433.88K,-0.77%
6/1/2001,271.3,266.8,279.8,265.5,437.15K,1.65%
5/1/2001,266.9,264.3,298.6,264.1,688.58K,0.95%
4/1/2001,264.4,259.1,267.5,255.8,334.98K,2.01%
3/1/2001,259.2,267.7,274.7,258,549.34K,-3.21%
2/1/2001,267.8,267.8,270.9,255.1,400.27K,-0.07%
1/1/2001,268,273.8,275,262,488.25K,-2.05%
12/1/2000,273.6,273.2,278.5,270.3,343.61K,0.11%
11/1/2000,273.3,266.5,273.5,264.5,689.58K,2.59%
10/1/2000,266.4,277.3,279.9,263.5,409.41K,-3.79%
9/1/2000,276.9,281.9,282.5,271.7,387.21K,-1.84%
8/1/2000,282.1,283.4,285,275.3,343.57K,-0.39%
7/1/2000,283.2,289.7,289.7,277.7,369.66K,-2.85%
6/1/2000,291.5,275.4,296.5,274.8,591.35K,6.08%
5/1/2000,274.8,274.8,284,269.5,475.19K,0.04%
4/1/2000,274.7,281.5,291.5,274,332.99K,-2.38%
3/1/2000,281.4,294.2,296.2,274.8,550.89K,-4.35%
2/1/2000,294.2,286,326.9,285,742.60K,2.80%
1/1/2000,286.2,289.5,291.8,280,414.02K,-1.17%
12/1/1999,289.6,293,294,276.2,412.23K,-1.16%
11/1/1999,293,299.7,300.4,288,372.59K,-2.43%
10/1/1999,300.3,299.1,339,287.6,807.28K,0.27%
9/1/1999,299.5,257.5,329,254.8,987.93K,16.40%
8/1/1999,257.3,258.8,264.7,253.8,628.99K,-0.58%
7/1/1999,258.8,263.5,264.7,253.2,651.84K,-1.82%
6/1/1999,263.6,271.5,272,258.5,529.11K,-3.09%
5/1/1999,272,287.9,291.2,267.9,755.60K,-5.49%
4/1/1999,287.8,281.9,289,279.1,522.57K,2.09%
3/1/1999,281.9,288,296.5,278.5,808.88K,-2.22%
2/1/1999,288.3,288.5,292.6,285,463.83K,0.03%
1/1/1999,288.2,289.6,294.3,282.5,610.54K,-0.35%
12/1/1998,289.2,295,299.5,286.5,474.88K,-2.00%
11/1/1998,295.1,294,299.1,288.7,485.99K,0.48%
10/1/1998,293.7,299.1,306.9,292,667.95K,-1.77%
9/1/1998,299,279.3,302.2,279.3,803.93K,7.21%
8/1/1998,278.9,291,294.8,273.8,614.54K,-3.99%
7/1/1998,290.5,297.8,299.7,289.1,538.02K,-2.55%
6/1/1998,298.1,295.4,301.6,285.6,655.72K,1.02%
5/1/1998,295.1,308,308.5,290.6,630.04K,-4.16%
4/1/1998,307.9,303.3,317,301.2,669.23K,1.52%
3/1/1998,303.3,300,306.8,287.3,609.14K,1.07%
2/1/1998,300.1,304.6,310,291.8,487.86K,-1.48%
1/1/1998,304.6,289.4,309,277.5,793.75K,5.07%
12/1/1997,289.9,298.5,299.1,283.3,509.44K,-2.36%
11/1/1997,296.9,312.1,316.9,295.1,534.30K,-4.87%
10/1/1997,312.1,336.6,342.1,308,847.16K,-7.36%
9/1/1997,336.9,327,337.9,321,701.88K,2.90%
8/1/1997,327.4,328.9,333.4,321,614.84K,-0.37%
7/1/1997,328.6,334.9,335.8,314.6,812.87K,-2.00%
6/1/1997,335.3,347.3,347.6,334.6,490.26K,-3.51%
5/1/1997,347.5,341.1,352.2,340.4,560.70K,1.85%
4/1/1997,341.2,354.3,355.1,339.5,460.53K,-3.62%
3/1/1997,354,365.1,366,346.3,613.91K,-3.04%
2/1/1997,365.1,346.3,365.5,338.5,761.35K,5.52%
1/1/1997,346,369.2,369.4,345.4,786.32K,-6.28%
12/1/1996,369.2,373.9,376.1,367.7,404.43K,-1.02%
11/1/1996,373,378.8,385.8,372.5,500.00K,-1.61%
10/1/1996,379.1,380.8,386.5,378.5,451.16K,-0.37%
9/1/1996,380.5,391.5,391.5,380.1,480.84K,-2.76%
8/1/1996,391.3,392.9,396.2,390,376.14K,-0.46%
7/1/1996,393.1,382.3,393.3,381.5,547.65K,3.01%
6/1/1996,381.6,394.3,394.3,381.5,508.21K,-3.25%
5/1/1996,394.4,393.5,398,389.8,582.68K,0.23%
4/1/1996,393.5,398.1,401,391.5,603.51K,-1.23%
3/1/1996,398.4,401.1,402.5,392.3,640.24K,-0.70%
2/1/1996,401.2,409.2,419.6,397.5,842.43K,-1.79%
1/1/1996,408.5,392,410.4,388,985.65K,5.26%
12/1/1995,388.1,387.6,392.4,386.7,359.01K,-0.13%
11/1/1995,388.6,384.1,391.5,381.5,641.95K,1.12%
10/1/1995,384.3,385.9,388.7,382.6,321.70K,-0.57%
9/1/1995,386.5,386.4,390.6,383.1,435.57K,-0.10%
8/1/1995,386.9,388.2,396,385.4,455.58K,-0.39%
7/1/1995,388.4,385.2,396.3,383,454.52K,0.73%
6/1/1995,385.6,386.6,395,384.2,499.00K,-0.52%
5/1/1995,387.6,389.9,393.9,381.5,582.90K,-0.23%
4/1/1995,388.5,395.2,400.8,387.3,536.92K,-1.47%
3/1/1995,394.3,377.4,402,374.5,778.14K,4.23%
2/1/1995,378.3,378.7,382.4,376.3,383.30K,0.16%
1/1/1995,377.7,382.4,386,372,646.28K,-1.74%
12/1/1994,384.4,383.7,386.8,377.7,377.24K,-0.03%
11/1/1994,384.5,384.7,387.9,382.4,483.73K,-0.10%
10/1/1994,384.9,396.2,399.8,383.7,591.46K,-3.19%
9/1/1994,397.6,390.5,401.9,389.9,595.28K,1.74%
8/1/1994,390.8,390.1,394,380.2,572.65K,0.41%
7/1/1994,389.2,386.8,394.1,382,533.60K,0.49%
6/1/1994,387.3,390.4,397.9,380.4,652.33K,-0.69%
5/1/1994,390,377.7,391.4,373.1,725.46K,3.23%
4/1/1994,377.8,394.7,395.8,369.5,529.48K,-4.18%
3/1/1994,394.3,381.8,396.5,374,641.89K,3.08%
2/1/1994,382.5,383.6,392.3,375.7,530.88K,-0.29%
